Crank anlge,lower ,Crank anlge,upper
243.124594,0.395202972,246.2350628,0.545198294
246.8182714,0.43445222,247.967866,0.574116435
246.8440815,0.411353956,249.140982,0.556878857
248.4064742,0.397160167,249.1716874,0.531625897
252.1757747,0.438367941,251.7985221,0.553130785
253.6472688,0.407382864,253.4368319,0.530729774
255.7981671,0.424962207,257.3192378,0.518188297
257.5436493,0.39382996,262.0111757,0.524600124
260.1793473,0.353627851,261.9678247,0.50848426
261.6099437,0.375440969,266.6949626,0.489258426
264.2615689,0.341159858,265.4269787,0.519396689
264.6591886,0.318971057,266.9814925,0.502273953
265.7204562,0.373490225,270.652762,0.471247847
269.3081962,0.347202344,271.9824056,0.491322006
268.4374824,0.278519576,275.6003521,0.469179942
269.6749214,0.313528417,277.2637971,0.482635732
272.01307,0.26188112,279.0876285,0.461200883
272.8206169,0.292914309,280.8726063,0.433957248
272.9346921,0.33532209,283.6207861,0.417792294
272.6706707,0.322173905,285.5631346,0.439845045
276.9395833,0.269819843,288.0594288,0.419400276
277.4527196,0.290574674,290.2503903,0.403831305
280.1767058,0.307480427,293.2874576,0.421298193
282.0348312,0.265097037,295.3947697,0.406981471
282.8331559,0.274992984,297.1556525,0.414267703
284.9292924,0.310465585,301.4098394,0.400726397
286.6822078,0.345848563,303.6338635,0.391488815
286.0774379,0.291028686,306.0519795,0.406404024
285.5739671,0.273867035,308.3401565,0.392847997
290.4451433,0.313854676,309.5503969,0.403578581
291.4743708,0.342295713,313.3264341,0.390622395
293.4869171,0.32544279,318.3673894,0.394556248
295.2357491,0.295555833,323.4129375,0.400197552
294.4861603,0.271901667,323.380762,0.388236218
298.341427,0.260065072,328.4394038,0.398745081
300.3693141,0.294685727,333.49891,0.409575329
302.6053031,0.315127639,338.5568175,0.419811235
305.1529748,0.284702786,342.1493245,0.433074399
310.4950707,0.285225981,345.4645888,0.422264079
310.364822,0.309664968,346.6531411,0.440387034
314.1352791,0.266300169,350.1881049,0.431829068
314.9478503,0.236093242,355.2611436,0.444123528
318.0820288,0.254471645,359.4375439,0.455551023
318.8166629,0.22156486,362.5256846,0.447541733
321.8722028,0.252437671,364.2817068,0.462829029
323.8827568,0.220677014,366.0007908,0.450217377
324.0424606,0.23754608,,
328.3749429,0.204776507,,
332.733434,0.195842898,,
333.3202662,0.173158933,,
337.9629981,0.199057189,,
338.2387309,0.167986263,,
341.7119453,0.186333534,,
343.3815775,0.15920178,,
345.4787285,0.187967977,,
348.6092155,0.156699908,,
352.9901372,0.175272152,,
353.3588016,0.14231914,,
357.0871266,0.168294126,,
357.4937213,0.149441821,,
362.1240134,0.170715523,,
362.0810245,0.154734303,,
362.0243574,0.133668149,,
